nombre_clase,cobertura_ref,gramos_ref,gramos_carb_ref
arroz,"53,05",230,"65,8"
platano,"19,82",94,"34,2"
papa comun,"25,07","43,1",9
papas fritas,"52,7",100,37
arepa paisa,"58,64",100,20
arepamaiz,"89,58",100,23
arepapequena,"24,36",55,13
pan tajado,"30,32",45,"22,5"
frijoles,"7,27",42,"9,6"
yuca,"15,51",32,"11,4"
lentejas,"51,84",175,35
banano,"34,69",80,"18,7"
pasta,"55,91",180,"50,8"
sopa,"52,55",300,24
garbanzos,"32,38",175,"47,9"
croissant,"41,01",85,"36,55"
pizza,"24,62",35,"10,15"
manzana,"26,48",330,"50,4"
guineo,"53,01",100,"37,8"
leche,"23,81",206,"9,8"
pan,"10,06",35,"18,2"
tostada,"35,35",30,"16,4"
galleta,"9,85",12,"8,4"
sandia,"36,89",175,"12,5"
uvas,"15,57",50,"8,75"
papa criolla,"42,54",180,"30,9"
morcilla,"37,15",100,8
empanadas,"59,74",220,66
arrozconpollo,"62,23",235,42
arepachoclo,"59,56",120,68
hamburguesa,"45,9",400,96
bunuelo,"73,53",540,148
crep,"40,39",150,23
almojabana,"55,93",150,60
torta,36,120,53
fresas,"38,3",37,"2,9"
ochuva,"9,79",40,"5,2"
tamal,"51,29",200,36
moras,"49,94",288,40
mango,"75,65",120,19
